,Unnamed: 0,회사,날짜,직무,재직여부,별점,요약,장점,단점,경영진에게 바라는 점
0,3610,삼성전자,2019-12-01,연구개발,현직원,5,나라 최고 의 기업 인 이유 를 느낄 는 곳,수평 인 문화 로 눈치 고 할 는 곳 자율 출퇴근 제 로 엄청난 워 라벨 을 느낄 는 곳 복지 역시 최고 의 수준 인 곳 재미있 는 이벤트 와 행사 아서 지루 은 곳,개발 기간 짧 을 는 조금 바쁜 곳 최근 어 급변 는 인사 제도,신규 사업 을 확실 게 밀어붙였으면 한다
1,3611,삼성전자,2019-12-01,개발,현직원,4,개발자 대우 으며 할 는 곳,사업 기반 안정 고 보너스 음 새로운 기술 과 사업 분야 를 경험 할 음,불 필요 보고 및 회의 고 부서 간 의 협력 에 에너지 소비 음 수직 문화 잔존 고 음,직원 의 불만 을 듣 지만 고 해결 해 었 으면 겠 음
3,3613,삼성전자,2019-12-01,인사/총무,현직원,4,글로벌 회사 시스템 선도 기업 다양 학습 과 경험 가능,연봉 주변 의 평가 복리 후생 근무 안정 성 우수 함,근무 강도 강하 고 성과 지향 경쟁 에 스트레스 심한 편 며 회사 커서 관료주의 는 편,관료주의 타파 합리 고 효율 인 실행 선진 근무 문화 에 관심 필요
4,3614,삼성전자,2019-12-01,기획/경영,현직원,3,대한민국 제 기업 답 게 뛰어난 경영 성과 창출 과 선진 기업 문화 도입 및 제도 혁신 시도 활발 게 이루어지 는 최고 의 회사 지만 그만큼 은 직장 냐는 질문 에 는 선뜻 맞 는다고 대답 기 어려움,삼성전자 는 대한민국 에서 이미 대체 할 는 상징 성 마저 생겨버린 엄청난 회사 파격 인 대우 를 기대 긴 어려워 도 모든 부분 의 대우 에서 대한민국 평균 이상 의 수준 을 보장 해준다,부서 별 문화 워낙 다양 해서 한마디 로 기업 의 단점 을 정의 기 는 어렵 지만 회서 규모 다 니 시대 흐름 에 맞춘 적절 변화 항상 느림 일부 부서 보여 기 식 도입 은 대한민국 에서 가장 빠름 과거 올드 패션 마인드 로 의 자리 까지 올라가 신 경영진 의 옛날 제조업 사고방식 은 어쩔 다,속도 와 단기성 과 위주 의 쪼이 기 문화 에서 벗어나 서 그인 호흡 을 갖 고 제품 하나하나 마스터 피스 될 는 문화 를 어 시 길
7,3617,삼성전자,2019-12-01,생산/제조,현직원,4,대 기업 답 게 확실히 문화 도 고 돈 도 많이 줘서 괜찮 습니다,부서 마다 다르 긴 한데 제 부서 는 연차 를 눈치 조금 긴 지만 자유 롭 게 쓸 도록 해 시 고 보너스 를 보다 많이 줘서 괜찮 습니다,제 그렇게 많이 다니 는 아서 아직 은 는 게 지만 단점 을 자면 안에 엄격 습니다 사내 에서 는 어 플로 카메라 도 게 니깐 요 그래도 그렇게 큰 단점 은 아닙니다,저 는 만족 면서 다니 고 습니다 그냥 이대로 만 유지 면 겠 네요
8,3618,삼성전자,2019-12-01,연구개발,현직원,3,남 다 아 는 기업 보다 주변 만족 함 사업 부 에 따른 편차 심하 고 내부 경쟁 과 소모품 취급 당함,자율 출퇴근 제 출퇴근 버스 의 우수 복지 시설 따로 설명 아도 아 는 기업,내부 경쟁 정치 심함 부서 직무 에 따라 전문 지식 습득 차이 음 회사 사업 부 부서 별 차이 너무 심함 불 합리 시스템 음,각자 전문 인 업무 에 집중 할 는 여건 환경 필요 며 장기 으로 바라볼 는 개발 및 준비 필요 함
11,3621,삼성전자,2019-12-01,기획/경영,현직원,5,다양 경험 을 쌓 을 고 복지 혜택 우수 며 로열티 를 고 근무 할 음,다양 경험 을 쌓 릏 고 복지 혜택 우수 며 로열티 를 고 근무 할 음,업무 의 강도 높 은 편 며 책임 감 도 무겁 게 어 기 에 스트레스 높 음 그럴지라도 지나 면 업무 전문가 될 기 에 는 음,큰 불만 음 큰 불만 음 큰 불만 앖음 음 음
16,3626,삼성전자,2019-12-01,개발,현직원,5,음 삼성전자 라면 곳 에 취직 한다는 만 으로 주변 평판 음,음 연봉 도 기업 보다 많이 고 자율 근무 제 면서 편해 기 도 했 고 이외 기업 문화 음,팀 을 무엇 보다 도 절 만나 다 함 킴 을 만나 면 나머지 근무 기간 행복 할 지만 팀 을 잘못 만나 면 헬 조선 시작 된다,신입 사원 에게 음 결정 권 을 셨 으면 겠 습니다 창의 인 인재 를 발굴 해 세요
17,3627,삼성전자,2019-12-01,개발,현직원,3,임직원 에 대한 배려 부족 기업 그대로 부품,각종 복지 와 사내 식당 피트 니스 어 다 실적 은 pi ps 나온다,팀 파트 에서 경쟁 인 분위기 야근 강요 SW 개발 에 대한 배려 음,로 만 software 를 중시 한다고 고 실제로 개발 환경 에 대한 지원 및 배려 를 해 시 기 바랍니다
19,3629,삼성전자,2019-12-01,연구개발,현직원,4,무난 직장 에 따라 지루 할 도 편안 할 도 는,연봉 비교 상위 네임 밸류 외국인 도 아 는 큰 회사 요즘 엔 밥 도 는 듯 고,많이 나아지 긴 했 지만 낀 세대 한테 최악 인 회사 분위기 윗사람 한마디 에 걸으며 휴대폰 기 를 전사 캠페인 돌리 는 긴 했 지만 담배 피우 라고 도 했었 고 현재 건강 검진 혈액 검사 반영 그런데 어떻게 다니 겠 지만 직원 다 착해서 참고 다님,다르 면 의견 을 제시 할 는 문화 를 어떻게 으면 을지 요 실수 에 따른 대미지 는 위아래 너무 다르 니까요
